,lat,lon,mask,code
0,6.0,0.0,21.0,WAF
1,7.0,0.0,21.0,WAF
2,8.0,0.0,21.0,WAF
3,9.0,0.0,21.0,WAF
4,10.0,0.0,21.0,WAF
5,11.0,0.0,21.0,WAF
6,12.0,0.0,21.0,WAF
7,13.0,0.0,21.0,WAF
8,14.0,0.0,21.0,WAF
9,15.0,0.0,20.0,SAH
10,16.0,0.0,20.0,SAH
11,17.0,0.0,20.0,SAH
12,18.0,0.0,20.0,SAH
13,19.0,0.0,20.0,SAH
14,20.0,0.0,20.0,SAH
15,21.0,0.0,20.0,SAH
16,22.0,0.0,20.0,SAH
17,23.0,0.0,20.0,SAH
18,24.0,0.0,20.0,SAH
19,25.0,0.0,20.0,SAH
20,26.0,0.0,20.0,SAH
21,27.0,0.0,20.0,SAH
22,28.0,0.0,20.0,SAH
23,29.0,0.0,20.0,SAH
24,30.0,0.0,20.0,SAH
25,31.0,0.0,19.0,MED
26,32.0,0.0,19.0,MED
27,33.0,0.0,19.0,MED
28,34.0,0.0,19.0,MED
29,35.0,0.0,19.0,MED
30,36.0,0.0,19.0,MED
31,40.0,0.0,19.0,MED
32,41.0,0.0,19.0,MED
33,42.0,0.0,19.0,MED
34,43.0,0.0,19.0,MED
35,44.0,0.0,19.0,MED
36,45.0,0.0,19.0,MED
37,46.0,0.0,17.0,WCE
38,47.0,0.0,17.0,WCE
39,48.0,0.0,17.0,WCE
40,49.0,0.0,17.0,WCE
41,50.0,0.0,17.0,WCE
42,51.0,0.0,16.0,NEU
43,52.0,0.0,16.0,NEU
44,6.0,1.0,21.0,WAF
45,7.0,1.0,21.0,WAF
46,8.0,1.0,21.0,WAF
47,9.0,1.0,21.0,WAF
48,10.0,1.0,21.0,WAF
49,11.0,1.0,21.0,WAF
50,12.0,1.0,21.0,WAF
51,13.0,1.0,21.0,WAF
52,14.0,1.0,21.0,WAF
53,15.0,1.0,20.0,SAH
54,16.0,1.0,20.0,SAH
55,17.0,1.0,20.0,SAH
56,18.0,1.0,20.0,SAH
57,19.0,1.0,20.0,SAH
58,20.0,1.0,20.0,SAH
59,21.0,1.0,20.0,SAH
60,22.0,1.0,20.0,SAH
61,23.0,1.0,20.0,SAH
62,24.0,1.0,20.0,SAH
63,25.0,1.0,20.0,SAH
64,26.0,1.0,20.0,SAH
65,27.0,1.0,20.0,SAH
66,28.0,1.0,20.0,SAH
67,29.0,1.0,20.0,SAH
68,30.0,1.0,20.0,SAH
69,31.0,1.0,19.0,MED
70,32.0,1.0,19.0,MED
71,33.0,1.0,19.0,MED
72,34.0,1.0,19.0,MED
73,35.0,1.0,19.0,MED
74,36.0,1.0,19.0,MED
75,41.0,1.0,19.0,MED
76,42.0,1.0,19.0,MED
77,43.0,1.0,19.0,MED
78,44.0,1.0,19.0,MED
79,45.0,1.0,19.0,MED
80,46.0,1.0,17.0,WCE
81,47.0,1.0,17.0,WCE
82,48.0,1.0,17.0,WCE
83,49.0,1.0,17.0,WCE
84,50.0,1.0,17.0,WCE
85,51.0,1.0,16.0,NEU
86,6.0,2.0,21.0,WAF
87,7.0,2.0,21.0,WAF
88,8.0,2.0,21.0,WAF
89,9.0,2.0,21.0,WAF
90,10.0,2.0,21.0,WAF
91,11.0,2.0,21.0,WAF
92,12.0,2.0,21.0,WAF
93,13.0,2.0,21.0,WAF
94,14.0,2.0,21.0,WAF
95,15.0,2.0,20.0,SAH
96,16.0,2.0,20.0,SAH
97,17.0,2.0,20.0,SAH
98,18.0,2.0,20.0,SAH
99,19.0,2.0,20.0,SAH
100,20.0,2.0,20.0,SAH
101,21.0,2.0,20.0,SAH
102,22.0,2.0,20.0,SAH
103,23.0,2.0,20.0,SAH
104,24.0,2.0,20.0,SAH
105,25.0,2.0,20.0,SAH
106,26.0,2.0,20.0,SAH
107,27.0,2.0,20.0,SAH
108,28.0,2.0,20.0,SAH
109,29.0,2.0,20.0,SAH
110,30.0,2.0,20.0,SAH
111,31.0,2.0,19.0,MED
112,32.0,2.0,19.0,MED
113,33.0,2.0,19.0,MED
114,34.0,2.0,19.0,MED
115,35.0,2.0,19.0,MED
116,36.0,2.0,19.0,MED
117,42.0,2.0,19.0,MED
118,43.0,2.0,19.0,MED
119,44.0,2.0,19.0,MED
120,45.0,2.0,19.0,MED
121,46.0,2.0,17.0,WCE
122,47.0,2.0,17.0,WCE
123,48.0,2.0,17.0,WCE
124,49.0,2.0,17.0,WCE
125,50.0,2.0,17.0,WCE
126,6.0,3.0,21.0,WAF
127,7.0,3.0,21.0,WAF
128,8.0,3.0,21.0,WAF
129,9.0,3.0,21.0,WAF
130,10.0,3.0,21.0,WAF
131,11.0,3.0,21.0,WAF
132,12.0,3.0,21.0,WAF
133,13.0,3.0,21.0,WAF
134,14.0,3.0,21.0,WAF
135,15.0,3.0,20.0,SAH
136,16.0,3.0,20.0,SAH
137,17.0,3.0,20.0,SAH
138,18.0,3.0,20.0,SAH
139,19.0,3.0,20.0,SAH
140,20.0,3.0,20.0,SAH
141,21.0,3.0,20.0,SAH
142,22.0,3.0,20.0,SAH
143,23.0,3.0,20.0,SAH
144,24.0,3.0,20.0,SAH
145,25.0,3.0,20.0,SAH
